query_id,doc_id,relevance,iteration
336901,msmarco_doc_02_580832591,0,0
2025747,msmarco_doc_55_968245146,0,0
2006375,msmarco_doc_49_1476504329,0,0
2036182,msmarco_doc_04_1106728497,0,0
2025747,msmarco_doc_39_1600593589,0,0
1122767,msmarco_doc_24_429545318,0,0
1107704,msmarco_doc_01_548195966,0,0
2037609,msmarco_doc_51_885564476,0,0
2037609,msmarco_doc_51_132918740,0,0
2026558,msmarco_doc_13_773956697,0,0
2006375,msmarco_doc_59_502163153,0,0
2000719,msmarco_doc_20_1453174393,0,0
2037609,msmarco_doc_15_845414722,0,0
2006375,msmarco_doc_44_62319745,0,0
2000719,msmarco_doc_43_1406224395,0,0
2006375,msmarco_doc_53_1550568476,0,0
2026558,msmarco_doc_06_1921796944,0,0
2000719,msmarco_doc_33_1182359961,0,0
2026558,msmarco_doc_32_1232848290,0,0
2013306,msmarco_doc_51_717102903,0,0
2037609,msmarco_doc_46_575661356,0,0
2026558,msmarco_doc_59_504885800,0,0
2037609,msmarco_doc_31_630868493,0,0
2006375,msmarco_doc_12_998016614,0,0
2036182,msmarco_doc_35_264937411,0,0
911232,msmarco_doc_03_501644414,0,0
2025747,msmarco_doc_02_475836438,0,0
833860,msmarco_doc_06_500033983,0,Q0
2025747,msmarco_doc_05_563072153,0,0
2000511,msmarco_doc_31_664048305,0,0
2037609,msmarco_doc_27_1588157400,0,0
2006375,msmarco_doc_41_1825598645,0,0
2025747,msmarco_doc_22_651186654,0,0
2025747,msmarco_doc_56_1397291532,0,0
2006375,msmarco_doc_33_413251248,0,0
2025747,msmarco_doc_21_1094385252,0,0
2026558,msmarco_doc_14_1410787696,0,0
2029260,msmarco_doc_49_1328299002,0,0
2029260,msmarco_doc_42_1488197136,0,0
2006375,msmarco_doc_24_1310463058,0,0
2026558,msmarco_doc_48_1410684401,0,0
2026558,msmarco_doc_53_69839336,0,0
2025747,msmarco_doc_22_639575519,0,0
2006375,msmarco_doc_06_675356328,0,0
2026558,msmarco_doc_09_64441804,0,0
2025747,msmarco_doc_30_1848679334,0,0
2026558,msmarco_doc_56_952569654,0,0
2000719,msmarco_doc_26_1598026442,0,0
2025747,msmarco_doc_41_383414323,0,0
2000719,msmarco_doc_59_497778356,0,0
2037609,msmarco_doc_51_1089349673,0,0
2037609,msmarco_doc_04_1130657652,0,0
2026558,msmarco_doc_40_120028866,0,0
2037609,msmarco_doc_59_525880393,0,0
2037609,msmarco_doc_22_1024929616,0,0
2029260,msmarco_doc_52_478353114,0,0
2029260,msmarco_doc_59_462374316,0,0
629937,msmarco_doc_19_1989579314,0,0
2006375,msmarco_doc_08_673038690,0,0
87181,msmarco_doc_17_2352863525,0,Q0
2025747,msmarco_doc_22_628621684,0,0
2026558,msmarco_doc_35_1222664725,0,0
2029260,msmarco_doc_44_1452949525,0,0
2000719,msmarco_doc_28_802688701,0,0
2037609,msmarco_doc_22_313785324,0,0
2037609,msmarco_doc_42_1226062721,0,0
2000719,msmarco_doc_23_84224361,0,0
2026558,msmarco_doc_22_643556932,0,0
2006375,msmarco_doc_13_1033018888,0,0
1133167,msmarco_doc_06_1870244335,0,Q0
2037609,msmarco_doc_53_525632305,0,0
2037609,msmarco_doc_13_947016724,0,0
2006375,msmarco_doc_47_1407568146,0,0
47923,msmarco_doc_04_24432533,0,Q0
30611,msmarco_doc_33_250011557,0,0
2037609,msmarco_doc_46_574303209,0,0
2029260,msmarco_doc_10_1617208571,0,0
2037609,msmarco_doc_00_142335464,0,0
2025747,msmarco_doc_55_703542942,0,0
2025747,msmarco_doc_28_723877864,0,0
2026558,msmarco_doc_53_85742113,0,0
2029260,msmarco_doc_43_617079090,0,0
2000719,msmarco_doc_45_1570680894,0,0
2037609,msmarco_doc_24_668244916,0,0
2025747,msmarco_doc_19_2354177164,0,0
2000719,msmarco_doc_13_1081913238,0,0
2037609,msmarco_doc_51_1326269044,0,0
2029260,msmarco_doc_33_447879669,0,0
2035565,msmarco_doc_15_456780009,0,0
2037609,msmarco_doc_53_269550848,0,0
2037609,msmarco_doc_59_525627847,0,0
2026558,msmarco_doc_15_1927948441,0,0
2000719,msmarco_doc_04_1084619684,0,0
2006375,msmarco_doc_09_86928544,0,0
2029260,msmarco_doc_09_169676494,0,0
2006375,msmarco_doc_47_1309104282,0,0
2029260,msmarco_doc_31_308161613,0,0
2006375,msmarco_doc_24_949203558,0,0
2029260,msmarco_doc_35_1704448388,0,0
2037609,msmarco_doc_59_515063719,0,0
2001908,msmarco_doc_22_1421636829,0,0
2037609,msmarco_doc_22_1832691127,0,0
2006375,msmarco_doc_23_1344517934,0,0
2040352,msmarco_doc_20_1394592883,0,0
2029260,msmarco_doc_59_571116865,0,0
2000719,msmarco_doc_49_1806234197,0,0
2025747,msmarco_doc_59_522375472,0,0
2006375,msmarco_doc_21_796378505,0,0
2006375,msmarco_doc_10_830993909,0,0
2037609,msmarco_doc_37_457099740,0,0
2037609,msmarco_doc_09_160304359,0,0
2029260,msmarco_doc_25_669062653,0,0
2006375,msmarco_doc_55_1571903558,0,0
2026558,msmarco_doc_27_943043911,0,0
2029260,msmarco_doc_29_72426113,0,0
2003976,msmarco_doc_02_1584135658,0,0
2026558,msmarco_doc_46_85207581,0,0
2037609,msmarco_doc_10_507352347,0,0
2029260,msmarco_doc_07_125100818,0,0
2029260,msmarco_doc_59_520469718,0,0
2000719,msmarco_doc_33_1115583277,0,0
