"query_id","doc_id","relevance"
"1037798","2104865",0
"1037798","2258765",0
"1037798","2431943",0
"1037798","248029",0
"1037798","2540690",0
"1037798","3507427",0
"1037798","7244943",0
"104861","1926464",0
"104861","2098234",0
"104861","2944060",0
"104861","3251293",0
"104861","3329746",0
"104861","3841986",0
"104861","5457925",0
"104861","6644733",0
"104861","8260038",0
"104861","8286089",0
"1063750","2075184",0
"1063750","2242826",0
"1063750","8006005",0
"1103812","1101246",0
"1103812","1614305",0
"1103812","2845346",0
"1103812","3234230",0
"1103812","3543021",0
"1103812","4726842",0
"1103812","5573704",0
"1103812","947384",0
"1103812","961775",0
"1106007","1560243",0
"1106007","1628786",0
"1106007","1922002",0
"1106007","5228015",0
"1106007","5279704",0
"1106007","8137967",0
"1110199","1809283",0
"1110199","2316518",0
"1110199","2655849",0
"1110199","3972098",0
"1110199","5074862",0
"1110199","6547512",0
"1110199","7157857",0
"1110199","8003348",0
"1110199","863984",0
"1110199","995389",0
"1112341","2096429",0
"1112341","4390797",0
"1113437","5188745",0
"1113437","5362609",0
"1113437","742041",0
"1113437","7497493",0
"1114646","1786848",0
"1114646","2621606",0
"1114646","3015665",0
"1114646","7103112",0
"1114819","1761757",0
"1114819","5396765",0
"1114819","597047",0
"1114819","8076977",0
"1115776","3227499",0
"1115776","3344355",0
"1115776","5014104",0
"1115776","580734",0
"1115776","6417117",0
"1115776","6616844",0
"1115776","7165062",0
"1115776","8078183",0
"1115776","986665",0
"1117099","1068642",0
"1117099","2675335",0
"1117099","8681297",0
"1121402","1926655",0
"1121402","4503431",0
"1121402","6717338",0
"1121402","7011514",0
"1121402","752294",0
"1121709","1752813",0
"1121709","2940488",0
"1121709","3015619",0
"1121709","3709755",0
"1121709","383497",0
"1121709","4410384",0
"1121709","6999097",0
"1121709","8082261",0
"1121709","918512",0
"1124210","1883019",0
"1124210","2859498",0
"1124210","3147129",0
"1124210","6134821",0
"1124210","6306362",0
"1124210","6689009",0
"1124210","6737732",0
"1124210","7203364",0
"1124210","7695218",0
"1124210","8437722",0
"1129237","1373997",0
"1129237","1436868",0
"1129237","2870542",0
"1129237","7081249",0
"1133167","1572514",0
"1133167","2757422",0
"1133167","2991270",0
"1133167","3498426",0
"1133167","405188",0
"1133167","5555222",0
"1133167","8332521",0
"1133167","8415745",0
"130510","1156210",0
"130510","779340",0
"130510","8094068",0
"131843","985988",0
"146187","1246346",0
"146187","1329682",0
"146187","1464098",0
"146187","3129298",0
"146187","6561118",0
"146187","7309304",0
"148538","3969005",0
"148538","4264129",0
"148538","5305311",0
"148538","6293679",0
"148538","6303284",0
"148538","6487981",0
"156493","1172287",0
"156493","2141938",0
"156493","3732381",0
"156493","4588177",0
"156493","6471884",0
"156493","6775079",0
"156493","7760653",0
"168216","1529943",0
"168216","1766535",0
"168216","2303676",0
"168216","25528",0
"168216","267547",0
"168216","3174836",0
"168216","3552861",0
"168216","4215272",0
"168216","4245221",0
"168216","4317150",0
"168216","4493879",0
"168216","4959804",0
"168216","5298478",0
"168216","6223986",0
"168216","6643455",0
"168216","6988654",0
"168216","7835773",0
"168216","8048972",0
"182539","4370020",0
"182539","5543580",0
"182539","6155095",0
"183378","2524527",0
"183378","3719069",0
"183378","5325846",0
"183378","5534709",0
"183378","6846314",0
"183378","6880045",0
"183378","749541",0
"183378","769287",0
"183378","8217632",0
"183378","823210",0
"183378","8488211",0
"183378","8623015",0
"19335","1274620",0
"19335","161603",0
"19335","2324839",0
"19335","3175483",0
"19335","3637071",0
"19335","4050974",0
"19335","429849",0
"19335","4480942",0
"19335","5078867",0
"19335","5652225",0
"19335","691498",0
"19335","7665056",0
"19335","7763208",0
"19335","8677296",0
"19335","8798990",0
"207786","3855673",0
